,robot index,width,depth,height,voxels,wheels,sensors,limbs,casters,norm,skeleton norm,components norm,replicate_index,replicate,environment,encoding,parent 1,parent 2,evaluation time,time,fitness
800,4415,0.545455,0.909091,0.454545,0.103681,5.0,1.0,2.0,0.0,1.207690361844459,1.1581573770830975,0.3423265984407288,4139,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_15-36-54-4386-981102137,cracks,SQ_CPPN,1113,-1,0.11962124194444444,4.3167950675,0.203125
801,4115,0.545455,0.909091,0.545455,0.111946,4.0,1.0,2.0,0.0,1.2312806005322263,1.1975060197122185,0.28641098093474,3862,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_15-36-54-4386-981102137,cracks,SQ_CPPN,3986,-1,0.045627586666666664,3.9636031213888887,0.148438
802,5911,0.545455,0.909091,0.0909091,0.0300526,3.0,0.0,4.0,0.0,1.109410418436554,1.0644882463116114,0.3125,5542,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_15-36-54-4386-981102137,cracks,SQ_CPPN,4085,-1,0.10245437472222223,5.714379665555556,0.148438
803,9063,0.727273,0.909091,0.0909091,0.0375657,2.0,0.0,2.0,4.0,1.207807148964312,1.1683527331629349,0.30618621784789724,8549,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_15-36-54-4386-981102137,cracks,SQ_CPPN,2475,-1,0.11443500083333333,8.684669398055556,0.148438
804,10324,0.545455,0.909091,0.0909091,0.0315552,2.0,0.0,2.0,3.0,1.095278068992459,1.0645317272941424,0.2576941016011038,9715,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_15-36-54-4386-981102137,cracks,SQ_CPPN,8684,-1,0.0514371975,9.928512240555555,0.148438
805,2751,0.545455,0.909091,0.0909091,0.0375657,2.0,0.0,4.0,1.0,1.1025763010265095,1.0647268427091054,0.28641098093474,2569,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_15-36-54-4386-981102137,cracks,SQ_CPPN,924,-1,0.07220053611111112,2.8789976758333333,0.148438
806,8684,0.727273,0.909091,0.0,0.0270473,2.0,0.0,2.0,4.0,1.2040988411452318,1.1645187929987604,0.30618621784789724,8185,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_15-36-54-4386-981102137,cracks,SQ_CPPN,5696,-1,0.040253690555555555,8.233355859722222,0.136719
807,1164,0.545455,0.909091,0.181818,0.052592,2.0,0.0,4.0,0.0,1.1126168733638728,1.0769360737267557,0.2795084971874737,1049,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_15-36-54-4386-981102137,cracks,SQ_CPPN,822,-1,0.04324991805555556,1.1752233525,0.136719
808,9315,0.545455,0.909091,0.181818,0.0510894,3.0,0.0,4.0,1.0,1.1230307276394356,1.076863740322962,0.31868871959954903,8799,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_15-36-54-4386-981102137,cracks,SQ_CPPN,2413,-1,0.09086401027777778,8.906405488611112,0.125
809,5143,0.545455,0.909091,0.454545,0.105184,5.0,0.0,2.0,0.0,1.2062021738444182,1.15829289654517,0.3365728004459065,4869,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_15-36-54-4386-981102137,cracks,SQ_CPPN,4415,-1,0.04447243,5.156140675,0.125
810,10280,0.909091,0.818182,0.272727,0.052592,3.0,1.0,4.0,1.0,1.2955627797980305,1.254198615211323,0.3247595264191645,9992,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_18-50-8-8429-2015991380,cracks,SQ_CPPN,2569,-1,0.101195235,10.676960658611112,0.199219
811,3277,0.909091,0.545455,0.363636,0.0450789,3.0,1.0,4.0,0.0,1.166101775587024,1.1217088976321843,0.31868871959954903,3110,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_18-50-8-8429-2015991380,cracks,SQ_CPPN,1472,-1,0.04480785472222222,3.5950236947222223,0.199219
812,6579,0.909091,0.727273,0.181818,0.0420736,3.0,1.0,4.0,1.0,1.2229755458515759,1.17906761288357,0.3247595264191645,6367,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_18-50-8-8429-2015991380,cracks,SQ_CPPN,2569,-1,0.08780185527777777,6.647260631666667,0.1875
813,8486,0.909091,0.636364,0.636364,0.0608565,6.0,0.0,2.0,0.0,1.3402679735281486,1.2806514907910154,0.39528470752104744,8244,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_18-50-8-8429-2015991380,cracks,SQ_CPPN,4637,-1,0.04606296361111111,8.773420241666667,0.1875
814,6202,0.909091,0.727273,0.363636,0.054846,5.0,1.0,2.0,0.0,1.2679902156649316,1.2209060926303874,0.3423265984407288,5995,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_18-50-8-8429-2015991380,cracks,SQ_CPPN,4416,-1,0.10978268888888888,6.331223235555556,0.171875
815,4416,0.909091,0.727273,0.363636,0.054846,6.0,0.0,2.0,0.0,1.2833010897766743,1.2209060926303874,0.39528470752104744,4230,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_18-50-8-8429-2015991380,cracks,SQ_CPPN,3553,-1,0.046099988611111115,4.584930037222223,0.164062
816,3269,0.909091,0.727273,0.454545,0.0676183,3.0,1.0,4.0,1.0,1.2930679039903086,1.2516212902990624,0.3247595264191645,3109,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_18-50-8-8429-2015991380,cracks,SQ_CPPN,1593,-1,0.046783523333333334,3.5950057419444446,0.15625
817,6402,0.909091,0.636364,0.363636,0.0488355,6.0,0.0,2.0,0.0,1.2338037256116752,1.1687692814808448,0.39528470752104744,6189,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_18-50-8-8429-2015991380,cracks,SQ_CPPN,3553,-1,0.04220537333333333,6.470938268055556,0.152344
818,7626,0.909091,0.818182,0.545455,0.0924117,4.0,0.0,2.0,2.0,1.3768367044522345,1.342359605592663,0.30618621784789724,7366,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_18-50-8-8429-2015991380,cracks,SQ_CPPN,2705,-1,0.05009721194444444,7.834796381111111,0.148438
819,2569,0.909091,0.727273,0.363636,0.0586026,4.0,0.0,4.0,1.0,1.2727702534364793,1.2210806148787883,0.3590351654086268,2417,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_18-50-8-8429-2015991380,cracks,SQ_CPPN,2190,-1,0.10292618222222222,2.831689444722222,0.148438
820,4600,0.909091,0.727273,0.454545,0.0563486,6.0,0.0,2.0,0.0,1.3120246890043494,1.2510630617826424,0.39528470752104744,4250,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_20-45-25-5703-1109328543,cracks,SQ_CPPN,3306,-1,0.047390025833333335,3.709801517222222,0.296875
821,8286,0.909091,0.727273,0.363636,0.069121,6.0,0.0,2.0,0.0,1.2839903877938494,1.2216305971720747,0.39528470752104744,7720,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_20-45-25-5703-1109328543,cracks,SQ_CPPN,6404,-1,0.04165206222222222,6.713820138611111,0.210938
822,3342,0.909091,0.636364,0.363636,0.0443276,5.0,1.0,2.0,0.0,1.2176983055727555,1.1685896043499444,0.3423265984407288,3077,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_20-45-25-5703-1109328543,cracks,SQ_CPPN,2845,-1,0.04013390666666666,2.7281234380555555,0.210938
823,8161,0.909091,0.727273,0.363636,0.0721262,6.0,0.0,2.0,0.0,1.2841556728186967,1.2218043182246656,0.39528470752104744,7625,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_20-45-25-5703-1109328543,cracks,SQ_CPPN,7554,-1,0.06616045722222222,6.628177003333334,0.195312
824,6597,0.909091,0.727273,0.181818,0.0465815,6.0,0.0,2.0,0.0,1.2437242797647112,1.179237077129213,0.39528470752104744,6162,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_20-45-25-5703-1109328543,cracks,SQ_CPPN,1830,-1,0.06248539333333333,5.327665832222222,0.1875
825,6404,0.909091,0.727273,0.363636,0.0721262,6.0,0.0,2.0,0.0,1.2841556728186967,1.2218043182246656,0.39528470752104744,5963,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_20-45-25-5703-1109328543,cracks,SQ_CPPN,1002,-1,0.07498512333333333,5.176645374722222,0.1875
826,7628,0.909091,0.636364,0.454545,0.054846,6.0,0.0,2.0,0.0,1.2638333859801298,1.2004269355183597,0.39528470752104744,7089,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_20-45-25-5703-1109328543,cracks,SQ_CPPN,4600,-1,0.04971315972222222,6.1540520913888885,0.1875
827,5522,0.909091,0.727273,0.272727,0.040571,6.0,0.0,2.0,0.0,1.2600192400832615,1.1964106675301753,0.39528470752104744,5104,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_20-45-25-5703-1109328543,cracks,SQ_CPPN,5252,-1,0.04097598527777778,4.413388456111111,0.1875
828,7141,0.909091,0.727273,0.454545,0.0503381,6.0,0.0,2.0,0.0,1.311780295684689,1.2508067573156973,0.39528470752104744,6660,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_19_0_20-45-25-5703-1109328543,cracks,SQ_CPPN,6376,-1,0.04592383055555556,5.822602165833334,0.183594
