# Goxel 0.11.0
# One line per voxel
# X Y Z RRGGBB
3 0 0 ffffff
4 0 0 ffffff
5 0 0 ffffff
3 1 0 ffffff
4 1 0 ffffff
5 1 0 ffffff
3 2 0 ffffff
4 2 0 ffffff
5 2 0 ffffff
0 3 0 ffffff
1 3 0 ffffff
2 3 0 ffffff
3 3 0 ffffff
4 3 0 ffffff
5 3 0 ffffff
0 4 0 ffffff
1 4 0 ffffff
2 4 0 ffffff
3 4 0 ffffff
4 4 0 ffffff
5 4 0 ffffff
0 5 0 0000ff
5 5 0 0000ff
-5 0 0 ffffff
-4 0 0 ffffff
-3 0 0 ffffff
-5 1 0 ffffff
-4 1 0 ffffff
-3 1 0 ffffff
-5 2 0 ffffff
-4 2 0 ffffff
-3 2 0 ffffff
-5 3 0 ffffff
-4 3 0 ffffff
-3 3 0 ffffff
-2 3 0 ffffff
-1 3 0 ffffff
-5 4 0 ffffff
-4 4 0 ffffff
-3 4 0 ffffff
-2 4 0 ffffff
-1 4 0 ffffff
-5 5 0 0000ff
-5 -5 0 0000ff
-5 -4 0 ffffff
-4 -4 0 ffffff
-3 -4 0 ffffff
-2 -4 0 ffffff
-1 -4 0 ffffff
-5 -3 0 ffffff
-4 -3 0 ffffff
-3 -3 0 ffffff
-2 -3 0 ffffff
-1 -3 0 ffffff
-5 -2 0 ffffff
-4 -2 0 ffffff
-3 -2 0 ffffff
-5 -1 0 ffffff
-4 -1 0 ffffff
-3 -1 0 ffffff
0 -5 0 0000ff
5 -5 0 0000ff
0 -4 0 ffffff
1 -4 0 ffffff
2 -4 0 ffffff
3 -4 0 ffffff
4 -4 0 ffffff
5 -4 0 ffffff
0 -3 0 ffffff
1 -3 0 ffffff
2 -3 0 ffffff
3 -3 0 ffffff
4 -3 0 ffffff
5 -3 0 ffffff
3 -2 0 ffffff
4 -2 0 ffffff
5 -2 0 ffffff
3 -1 0 ffffff
4 -1 0 ffffff
5 -1 0 ffffff
