# Goxel 0.10.8
# One line per voxel
# X Y Z RRGGBB
-4 -5 0 ff0000
-4 -4 0 ffffff
-3 -4 0 ffffff
-4 -3 0 ffffff
-3 -3 0 ffffff
-2 -3 0 ffffff
-1 -3 0 ffffff
-4 -2 0 ffffff
-3 -2 0 ffffff
-4 -1 0 ffffff
-3 -1 0 ffffff
-4 -4 1 ffffff
-3 -4 1 ffffff
-5 -3 1 00ff00
-4 -3 1 ffffff
-4 -2 1 ffffff
-4 -1 1 ffffff
-4 -4 2 ffffff
-3 -4 2 ffffff
-4 -3 2 ffffff
-4 -2 2 ffffff
-4 -1 2 ffffff
-4 0 0 ffffff
-3 0 0 ffffff
-4 1 0 ffffff
-3 1 0 ffffff
-4 2 0 ffffff
-3 2 0 ffffff
-4 3 0 ffffff
-3 3 0 ffffff
-2 3 0 ffffff
-1 3 0 ffffff
-4 4 0 ffffff
-3 4 0 ffffff
-4 5 0 ff0000
-4 0 1 ffffff
-4 1 1 ffffff
-4 2 1 ffffff
-5 3 1 00ff00
-4 3 1 ffffff
-4 4 1 ffffff
-3 4 1 ffffff
-4 0 2 ffffff
-4 1 2 ffffff
-4 2 2 ffffff
-4 3 2 ffffff
-4 4 2 ffffff
-3 4 2 ffffff
3 0 0 ffffff
4 0 0 ffffff
3 1 0 ffffff
4 1 0 ffffff
3 2 0 ffffff
4 2 0 ffffff
0 3 0 ffffff
1 3 0 ffffff
2 3 0 ffffff
3 3 0 ffffff
4 3 0 ffffff
3 4 0 ffffff
4 4 0 ffffff
4 5 0 ff0000
4 0 1 ffffff
4 1 1 ffffff
4 2 1 ffffff
4 3 1 ffffff
5 3 1 00ff00
3 4 1 ffffff
4 4 1 ffffff
4 0 2 ffffff
4 1 2 ffffff
4 2 2 ffffff
4 3 2 ffffff
3 4 2 ffffff
4 4 2 ffffff
4 -5 0 ff0000
3 -4 0 ffffff
4 -4 0 ffffff
0 -3 0 ffffff
1 -3 0 ffffff
2 -3 0 ffffff
3 -3 0 ffffff
4 -3 0 ffffff
3 -2 0 ffffff
4 -2 0 ffffff
3 -1 0 ffffff
4 -1 0 ffffff
3 -4 1 ffffff
4 -4 1 ffffff
4 -3 1 ffffff
5 -3 1 00ff00
4 -2 1 ffffff
4 -1 1 ffffff
3 -4 2 ffffff
4 -4 2 ffffff
4 -3 2 ffffff
4 -2 2 ffffff
4 -1 2 ffffff
