# Goxel 0.10.4
# One line per voxel
# X Y Z RRGGBB
3 0 0 ffffff
4 0 0 ffffff
3 1 0 ffffff
4 1 0 ffffff
3 2 0 ffffff
4 2 0 ffffff
0 3 0 ffffff
1 3 0 ffffff
2 3 0 ffffff
3 3 0 ffffff
4 3 0 ffffff
3 4 0 ffffff
4 4 0 ffffff
4 5 0 0000ff
-4 0 0 ffffff
-3 0 0 ffffff
-4 1 0 ffffff
-3 1 0 ffffff
-4 2 0 ffffff
-3 2 0 ffffff
-4 3 0 ffffff
-3 3 0 ffffff
-2 3 0 ffffff
-1 3 0 ffffff
-4 4 0 ffffff
-3 4 0 ffffff
-4 5 0 0000ff
-4 -5 0 0000ff
-4 -4 0 ffffff
-3 -4 0 ffffff
-4 -3 0 ffffff
-3 -3 0 ffffff
-2 -3 0 ffffff
-1 -3 0 ffffff
-4 -2 0 ffffff
-3 -2 0 ffffff
-4 -1 0 ffffff
-3 -1 0 ffffff
4 -5 0 0000ff
3 -4 0 ffffff
4 -4 0 ffffff
0 -3 0 ffffff
1 -3 0 ffffff
2 -3 0 ffffff
3 -3 0 ffffff
4 -3 0 ffffff
3 -2 0 ffffff
4 -2 0 ffffff
3 -1 0 ffffff
4 -1 0 ffffff
