# Goxel 0.11.0
# One line per voxel
# X Y Z RRGGBB
-4 -3 0 000000
-3 -3 0 ffffff
-2 -3 0 ffffff
-1 -3 0 ffffff
-3 -2 0 ffffff
-3 -1 0 ffffff
-3 0 0 ffffff
-3 1 0 ffffff
-3 2 0 ffffff
-4 3 0 000000
-3 3 0 ffffff
-2 3 0 ffffff
-1 3 0 ffffff
3 0 0 ffffff
3 1 0 ffffff
3 2 0 ffffff
0 3 0 ffffff
1 3 0 ffffff
2 3 0 ffffff
3 3 0 ffffff
4 3 0 000000
0 4 0 0000ff
3 0 1 ffffff
3 1 1 ffffff
3 2 1 ffffff
3 3 1 ffffff
3 0 2 ffffff
4 0 2 00ff00
3 1 2 ffffff
3 2 2 ffffff
3 3 2 ffffff
0 -4 0 0000ff
0 -3 0 ffffff
1 -3 0 ffffff
2 -3 0 ffffff
3 -3 0 ffffff
4 -3 0 000000
3 -2 0 ffffff
3 -1 0 ffffff
3 -3 1 ffffff
3 -2 1 ffffff
3 -1 1 ffffff
3 -3 2 ffffff
3 -2 2 ffffff
3 -1 2 ffffff
